ArrivalAirpot,CarrierDelayCount,NasDelayCount,WeatherDelayCount,LateCraftDelayCount,SecurityDelayCount,TotalDelayCount
ABE,15,18,30,20,32,115
ABQ,74,118,183,73,185,633
ABR,3,1,3,0,3,10
ABY,5,6,13,8,13,45
ACT,7,9,13,6,13,48
ACV,21,14,37,21,38,131
ACY,40,34,83,48,82,287
ADK,0,1,1,1,1,4
ADQ,2,1,3,3,3,12
AEX,17,28,39,16,39,139
AGS,12,18,36,25,38,129
ALB,40,81,111,70,120,422
AMA,21,21,32,13,33,120
ANC,38,51,72,46,76,283
APN,10,4,10,5,12,41
ASE,59,54,89,60,103,365
ATL,2029,2010,3755,1995,3981,13770
ATW,40,19,60,49,64,232
AUS,165,297,413,179,436,1490
AVL,10,14,28,22,31,105
AVP,10,11,21,16,23,81
AZO,19,19,33,20,35,126
BDL,80,188,284,145,295,992
BET,1,0,3,2,3,9
BFL,14,16,27,10,27,94
BGM,12,9,21,16,22,80
BGR,0,1,1,1,1,4
BHM,48,74,111,69,124,426
BIL,18,15,29,17,30,109
BIS,23,16,39,22,39,139
BJI,7,5,11,4,11,38
BLI,7,8,10,4,10,39
BMI,8,11,17,8,18,62
BNA,206,299,480,252,506,1743
BOI,77,116,167,78,174,612
BOS,568,884,1503,726,1595,5276
BPT,4,4,11,6,11,36
BQK,5,10,12,6,12,45
BQN,12,27,50,23,48,160
BRD,2,2,7,4,7,22
BRO,8,10,14,7,16,55
BRW,4,2,6,5,6,23
BTM,6,0,5,7,8,26
BTR,32,52,93,59,93,329
BTV,13,23,40,24,45,145
BUF,76,141,205,100,222,744
BUR,150,193,268,82,281,974
BWI,334,524,808,333,827,2826
BZN,14,16,25,18,27,100
CAE,33,47,84,51,86,301
CAK,38,45,70,38,74,265
CDC,12,1,13,13,14,53
CDV,1,0,2,1,2,6
CHA,20,30,51,30,52,183
CHO,18,23,32,19,37,129
CHS,49,87,157,87,167,547
CID,20,17,40,27,41,145
CIU,8,7,11,4,11,41
CLE,192,232,392,219,417,1452
CLL,2,4,5,3,5,19
CLT,714,591,1222,766,1301,4594
CMH,118,172,260,112,271,933
CMX,7,5,13,9,15,49
COD,4,3,7,4,7,25
COS,61,52,111,44,116,384
CPR,9,5,12,4,12,42
CRP,13,11,24,15,25,88
CRW,10,26,31,21,32,120
CSG,2,10,19,9,19,59
CVG,96,106,196,113,212,723
CWA,3,3,7,3,7,23
DAB,8,4,13,12,16,53
DAL,286,439,661,258,675,2319
DAY,59,51,110,69,116,405
DCA,463,512,959,589,1018,3541
DEN,1032,1127,1890,964,1992,7005
DFW,1017,1141,2051,1166,2136,7511
DHN,10,16,29,14,29,98
DLH,21,18,36,23,38,136
DRO,10,1,10,8,12,41
DSM,46,47,89,63,100,345
DTW,702,750,1309,649,1383,4793
DVL,7,2,10,3,10,32
EAU,9,6,14,5,14,48
ECP,18,20,22,16,29,105
EGE,18,30,38,34,46,166
EKO,6,1,10,8,11,36
ELM,13,11,31,22,32,109
ELP,34,88,119,59,121,421
ERI,7,7,9,8,12,43
ESC,4,3,8,3,8,26
EUG,34,41,53,14,55,197
EVV,14,23,34,17,37,125
EWN,4,8,16,12,16,56
EWR,598,648,1262,739,1333,4580
EYW,14,11,23,23,29,100
FAI,2,5,8,7,8,30
FAR,36,38,81,40,82,277
FAT,68,53,106,49,107,383
FAY,8,12,20,10,20,70
FCA,9,9,16,15,18,67
FLG,10,10,10,4,12,46
FLL,837,681,1892,1100,1966,6476
FNT,22,24,39,23,45,153
FSD,49,24,70,48,81,272
FSM,3,12,19,14,19,67
FWA,40,27,62,24,67,220
GCC,3,5,7,5,7,27
GEG,51,74,119,74,124,442
GFK,10,5,16,8,16,55
GJT,12,8,19,12,21,72
GNV,8,18,34,19,34,113
GPT,17,14,23,15,28,97
GRB,31,18,43,22,46,160
GRK,5,11,20,13,20,69
GRR,58,49,93,50,98,348
GSO,24,35,50,34,57,200
GSP,27,33,62,36,67,225
GTF,18,15,27,16,29,105
GTR,4,10,14,5,14,47
GUC,4,5,5,5,7,26
GUM,2,5,7,5,7,26
HDN,11,19,23,13,25,91
HIB,12,3,18,13,18,64
HLN,10,7,12,6,14,49
HNL,243,410,672,570,741,2636
HOB,1,0,2,2,2,7
HOU,211,329,523,199,538,1800
HPN,25,94,148,63,150,480
HRL,10,16,21,6,21,74
HSV,11,19,29,25,36,120
HYS,5,3,10,6,10,34
IAD,99,171,263,163,285,981
IAG,2,3,6,4,6,21
IAH,787,685,1368,912,1455,5207
ICT,62,48,94,57,103,364
IDA,19,10,29,21,31,110
ILM,10,26,43,26,44,149
IMT,10,4,11,4,11,40
IND,140,198,295,173,316,1122
INL,10,2,12,6,12,42
ISN,18,11,27,17,28,101
ISP,23,40,48,11,47,169
ITH,7,0,11,7,11,36
ITO,5,22,20,9,26,82
JAC,41,47,76,45,83,292
JAN,24,26,45,29,48,172
JAX,71,122,221,136,239,789
JFK,567,818,1544,755,1597,5281
JLN,3,3,5,3,5,19
JMS,9,6,11,5,12,43
JNU,23,18,23,24,33,121
KOA,70,64,156,114,165,569
KTN,4,11,8,11,12,46
LAN,26,24,51,31,53,185
LAR,2,3,5,3,5,18
LAS,1102,953,1856,919,1975,6805
LAW,2,7,8,4,8,29
LAX,1601,1283,3005,1695,3113,10697
LBB,23,24,42,20,43,152
LBE,14,9,25,14,24,86
LCH,5,2,7,4,7,25
LEX,29,44,64,33,68,238
LFT,12,18,32,23,33,118
LGA,842,706,1612,978,1681,5819
LGB,54,111,177,55,179,576
LIH,69,37,123,114,135,478
LIT,36,46,71,36,77,266
LNK,22,14,41,24,42,143
LRD,7,8,16,12,16,59
LSE,10,5,15,9,15,54
LWS,2,0,3,3,3,11
MAF,35,42,56,23,58,214
MBS,19,16,35,18,36,124
MCI,189,305,446,222,466,1628
MCO,936,904,1986,1169,2072,7067
MDT,11,11,25,17,27,91
MDW,405,474,771,358,826,2834
MEI,2,6,9,7,9,33
MEM,64,64,124,72,131,455
MFE,3,5,8,5,9,30
MFR,26,37,49,20,50,182
MGM,9,25,39,22,39,134
MHT,25,45,69,38,74,251
MIA,779,478,1406,1046,1481,5190
MKE,215,224,379,200,406,1424
MKG,8,6,17,8,17,56
MLB,7,4,4,5,9,29
MLI,17,20,38,24,41,140
MLU,12,12,28,15,28,95
MMH,1,3,5,2,5,16
MOB,20,26,41,20,42,149
MOT,15,13,29,15,29,101
MQT,10,5,12,4,12,43
MRY,22,18,34,9,33,116
MSN,46,58,84,52,94,334
MSO,17,16,29,15,29,106
MSP,859,725,1438,758,1531,5311
MSY,197,302,503,256,527,1785
MTJ,12,12,18,14,23,79
MYR,19,25,47,26,49,166
OAJ,2,9,19,15,19,64
OAK,292,332,636,228,645,2133
OGG,141,117,301,272,316,1147
OKC,72,107,171,81,178,609
OMA,98,145,215,116,228,802
OME,3,3,3,6,6,21
ONT,128,183,275,92,279,957
ORD,1809,1242,2896,1712,3055,10714
ORF,48,68,114,67,129,426
ORH,1,6,15,6,15,43
OTH,2,3,6,1,6,18
OTZ,2,2,2,2,3,11
PAH,7,9,14,5,16,51
PBG,3,3,8,4,8,26
PBI,243,234,621,356,645,2099
PDX,262,360,507,200,520,1849
PHF,1,8,9,8,9,35
PHL,338,450,770,425,803,2786
PHX,791,920,1628,833,1686,5858
PIA,28,22,46,25,49,170
PIB,2,2,2,0,2,8
PIH,8,0,10,8,10,36
PIT,99,174,248,127,261,909
PLN,9,1,10,6,10,36
PNS,28,32,50,38,58,206
PPG,0,1,1,1,1,4
PSC,34,37,57,27,58,213
PSE,2,16,23,7,23,71
PSG,2,1,2,0,2,7
PSP,102,92,159,70,165,588
PVD,55,97,153,70,155,530
PWM,17,27,58,34,58,194
RAP,23,13,34,20,36,126
RDD,10,6,13,4,14,47
RDM,18,15,31,13,32,109
RDU,142,257,366,220,395,1380
RHI,9,2,10,8,12,41
RIC,68,102,191,104,199,664
RKS,4,3,6,3,6,22
RNO,68,89,154,59,152,522
ROA,7,16,26,17,29,95
ROC,30,54,89,54,95,322
ROW,0,1,1,1,1,4
RST,6,8,13,5,13,45
RSW,287,255,632,405,662,2241
SAF,1,1,3,3,3,11
SAN,398,520,836,352,867,2973
SAT,109,219,296,129,310,1063
SAV,42,41,85,52,94,314
SBA,59,38,84,32,85,298
SBN,52,40,83,41,89,305
SBP,30,20,35,8,35,128
SCC,3,2,2,2,3,12
SCE,8,2,10,6,12,38
SDF,52,73,119,68,125,437
SEA,734,707,1205,620,1269,4535
SFO,2902,1035,3632,2373,3822,13764
SGF,20,20,40,20,44,144
SGU,20,12,33,22,33,120
SHV,29,47,65,30,66,237
SIT,4,4,9,4,9,30
SJC,206,255,466,164,477,1568
SJU,146,317,538,318,567,1886
SLC,663,684,1110,458,1171,4086
SMF,244,300,507,179,517,1747
SMX,16,15,22,4,22,79
SNA,183,245,391,162,405,1386
SPI,13,11,29,19,30,102
SRQ,9,22,44,32,48,155
STL,273,332,574,287,601,2067
STT,35,46,84,58,91,314
STX,10,12,24,19,27,92
SUN,5,5,13,7,13,43
SWF,2,17,18,6,18,61
SYR,26,34,70,38,74,242
TLH,8,21,28,20,30,107
TPA,408,539,1038,576,1093,3654
TRI,10,12,18,5,18,63
TTN,12,8,19,10,21,70
TUL,65,108,156,77,162,568
TUS,79,128,184,79,188,658
TVC,11,13,19,11,24,78
TWF,12,1,12,11,13,49
TXK,6,5,12,7,12,42
TYR,13,10,18,6,18,65
TYS,37,54,96,65,104,356
UST,0,0,0,0,0,0
VLD,5,12,19,13,19,68
VPS,12,20,36,27,39,134
WRG,2,1,3,1,3,10
XNA,39,30,61,32,66,228
YAK,2,1,2,0,3,8
YUM,13,14,26,12,26,91
